Year_of_last_filed_report,NPRI_Site_ID,Company_Name,Facility_Name,Address_line_1,Address_line_2,City,Province,Postal_Code,Key_Industrial_Sector,Datum,Latitude,Longitude,PRV_WSHD_I,NHN_TWS_ID
2021,280,Dow Chemical Canada ULC,Western Canada Operations,,,Fort Saskatchewan,AB,T8L 2P4,Chemicals,WGS84,53.7332,-113.175,AB-11030101,05EB
2021,281,3313045 NOVA SCOTIA COMPANY,Varennes Facility,,,Varennes,QC,J3X 1T3,Plastics and Rubber,WGS84,45.7317,-73.4033,NA,210
2009,282,DOW CHEMICAL CANADA ULC,DOW CHEMICAL CANADA ULC - WESTON,122  ARROW Road,,WESTON,ON,M9M2M2,Plastics and Rubber,WGS84,43.7447,-79.5297,ON-02HC-02,02HC
2011,284,Duochem Inc.,DUOCHEM - BOUCHERVILLE,1250 Graham Bell,,BOUCHERVILLE,QC,J4B6H5,Chemicals,WGS84,45.5641,-73.4406,NA,210
2021,286,Axalta Coating Systems Canada Company,Ajax Site,,,Ajax,ON,L1S 1R6,Chemicals,WGS84,43.8476,-79.0347,ON-02HC-08,02HC
2004,299,AKZO NOBEL,EKA CHEMICALS CANADA INC.,39 INDUSTRIAL STREET,,TORONTO,ON,M4G1Z2,Chemicals,WGS84,43.7079,-79.359,ON-02HC-06,02HC
2021,302, Nouryon Pâte et performance Canada inc.,Usine de Magog,,,Magog,QC,J1X 3W5,Chemicals,WGS84,45.2751,-72.1128,NA,02OE
2008,305,CHEMTURA CANADA,ANDEROL OAKVILLE,700 Third Line,,OAKVILLE,ON,L6J5A3,Chemicals,WGS84,43.4203,-79.7212,NA,02HB
2021,308,Kemira Water Solutions Canada Inc.,Kemira Water Solutions Canada Inc.,,,Varennes,QC,J3X 1T6,Chemicals,WGS84,45.711,-73.4228,NA,210
2010,311,ENDURA MANUFACTURING CO. LTD.,ENDURA MANUFACTURING,12425 149th Street,,EDMONTON,AB,T5L2J6,Chemicals,WGS84,53.5799,-113.5764,AB-11020201,05DF
1994,312,Equity Silver Mines Ltd.,,P.O. Box 1450,,HOUSTON,BC,V0J1Z0,Mining and Quarrying,WGS84,54.389,-126.6517,BC_18,08EE
2021,315,ESCO Limited,ESCO Limited,,,Port Hope,ON,L1A 3W4,Iron and Steel,WGS84,43.9483,-78.2847,NA,209
1997,316,ENTHONE-OMI (CANADA) INC,,58 ADESSO DRIVE,,CONCORD,ON,L4K3C6,Chemicals,WGS84,43.777,-79.5279,ON-02HC-02,02HC
2021,319,Dyno Nobel Canada Inc.,DNCI North Bay,,,North Bay,ON,P1B 8K2,Chemicals,WGS84,46.2667,-79.3778,ON-02DD-05,02DD
1997,321,EXACT PRINTING PLATE LIMITED,,1776 Midland Avenue,,SCARBOROUGH,ON,M1P3C2,Other Manufacturing,WGS84,43.7632,-79.2698,NA,02HC
2021,322,General Dynamics OTS- Canada Valleyfield Inc.,General Dynamic OTS-Canada Valleyfield Inc.,,,Salaberry-de-Valleyfield,QC,J6S 4V9,Chemicals,WGS84,45.2867,-74.0717,ON-02MCA01,02MC
1993,326,"FUJI HUNT PHOTOGRAPHIC CHEMICALS, LTD.",,,,,ON,,,WGS84,43.7125,-79.6606,NA,02HC
2021,327,Irving Consumer Products Limited,Irving Consumer Products Limited,,,Toronto,ON,M6M 4Y4,Pulp and Paper,WGS84,43.6944,-79.5059,ON-02HC-02,02HC
2008,330,FEROX INC.,USINE D'ANJOU,9100 Edison,,ANJOU,QC,H1J1T3,Chemicals,WGS84,45.6118,-73.5678,NA,210
2009,333,CATALYST PAPER,ELK FALLS,PO Box 2000,4405 North Island Hwy.,CAMPBELL RIVER,BC,V9W5C9,Pulp and Paper,WGS84,50.0738,-125.2833,BC_176,08HD
2012,341,Bacardi Canada Inc.,1000 Steeles Ave. East.,1000 Steeles Avenue East,,BRAMPTON,ON,L6T1A1,Other Manufacturing,WGS84,43.6879,-79.7093,ON-02HC-01,02HC
2021,344,Chemtrade Logistics Inc.,Chemtrade - Thorold,,,Thorold,ON,L2V 3Y7,Chemicals,WGS84,43.1101,-79.2092,ON-02HA-03,02HA
2021,351,Infinity Rubber Technology Group,Infinity Rubber - Welland Plant,,,Welland,ON,L3B 0B4,Plastics and Rubber,WGS84,42.9977,-79.2389,ON-02HA-02,02HA
2001,354,GENNUM CORPORATION,Landmark Building,3435 Landmark Road,,BURLINGTON,ON,L7M1T4,Other Manufacturing,WGS84,43.367,-79.7987,NA,02HB
2006,355,OXY VINYLS CANADA,SCOTFORD PLANT,55418 Range Road 214,,FORT SASKATCHEWAN,AB,T8L4A4,Chemicals,WGS84,53.776,-113.0886,AB-11030102,05EB
2021,358,"Glopak, Division of",USINE,,,Montreal,QC,H1R 1A6,Plastics and Rubber,WGS84,45.5883,-73.62,NA,210
2003,359,GOODFELLOW INC.,ST. ANDRE,"4, rue Du Moulin",C.P. 30,ST-ANDRÉ D'ARGENTEUIL,QC,J0V1X0,Wood Products,WGS84,45.5653,-74.3361,NA,02LC
2021,360,Goodfellow Inc.,"Goodfellow, DELSON",,,Delson,QC,J5B 1V5,Wood Products,WGS84,45.3651,-73.5366,NA,02OA
2001,361,Graham,,64 Maple Ave.  Box 3000,,INGLEWOOD,ON,L0N1K0,Plastics and Rubber,WGS84,43.7948,-79.9261,ON-02HB-06,02HB
2021,362,Greater Vancouver Sewerage and Drainage District,Metro Vancouver Waste-to-Energy Facility,,,Burnaby,BC,V3N 4V3,Waste Treatment and Disposal,WGS84,49.1866,-122.9785,BC_103,08MH
1997,363,Capital Regional District Water Dept,Japan Gulch Chloramination Plant,Sooke Lake Road,,VICTORIA,BC,V9B5T9,Water and Wastewater Systems,WGS84,48.4628,-123.5735,BC_243,08HA
1995,365,Humpback Chloramination Plant,,Humpback Road,,LANGFORD,BC,V9B1H7,Water and Wastewater Systems,WGS84,48.4664,-123.5846,BC_243,08HA
1997,367,Capital Regional District Water Dept.,Charters Creek Chloramination Plant,2895 Sooke River Road,,SOOKE,BC,V0S1N0,Water and Wastewater Systems,WGS84,48.4592,-123.5514,BC_243,08HA
2010,369,SONOCO FLEXIBLE PACKAGING CANADA CORP.,Sonoco Flexible Packaging Winnipeg,1664 SEEL AVENUE,,WINNIPEG,MB,R3T4X5,Other Manufacturing,WGS84,49.8394,-97.1758,NA,05OC
2018,371,Flexstar Packaging Inc.,FLEXSTAR Packaging Richmond Operations,13320 River Road,,RICHMOND,BC,V6V1W7,Other Manufacturing,WGS84,49.2004,-123.0772,BC_103,08MH
2012,373,Deane & Cie Inc.,Deane et Compagnie,190 Oneida Promenade,,POINTE-CLAIRE,QC,H9R1A8,Chemicals,WGS84,45.4749,-73.8113,NA,210
2021,374,Halltech Inc.,HALLTECH INC.,,,Scarborough,ON,M1E 2K2,Chemicals,WGS84,43.7644,-79.1697,NA,02HC
2021,375,Harbour Indusries (Canada) Ltd.,Harbour industrie Canada,,,Farnham,QC,J2N 2X3,Other Manufacturing,WGS84,45.2928,-72.9617,NA,02OG
2008,376,DANA CANADA INC.,LIGHT VEHICLE DRIVELINE (THOROLD MACHINING PLANT),P.O. Box 1045,,THOROLD,ON,L2V3Z6,Transportation Equipment Mfg.,WGS84,43.0922,-79.2061,ON-02HA-03,02HA
