Facility_I,Owner_Name,System_Nam,City,Province__,Postal_Cod,Owner_Type,Operator_T,Average_Da,Method_of_,Descriptio,Chlorine_U,System_Typ,Treatment_,Other_Trea,Discharge_,Is_the_hyd,Reporting_,Averaging_,Latitude,Longitude,Verificati,Type_of_Po,Name_of_bo,Name_of_th,Descript_1,Descript_2,System_sta,PRV_WSHD_I,NHN_TWS_ID,Averaging_Period,Year_Most_Recent,Average_Daily_Effluent_Volume_m3,Total_volume_of_effluent_deposited_in_cubic_metres_m3_for_averaging_period_,Average_CBOD_mgL_for_averaging_period,CBOD_Compliance,Average_suspended_solids_mgL_for_averaging_period,Suspended_Solids_Compliance
14276,City of Calgary,Bonnybrook Wastewater Treatment Plant,Calgary,Alberta,T2G 3M8,Municipal or another local authority,Municipal or another local authority,364250,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Monthly,51.0097,-114.0205,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020901,05BM,Monthly,2021,330671.5,9553776.667,2.166666667,-22.83333333,7.416666667,-17.58333333
14277,City of Calgary,Fish Creek Wastewater Treatment Plant,Calgary,Alberta,T2J 5Z1,Municipal or another local authority,Municipal or another local authority,32581,Other method of calculation based on measurements,Continuous measure of bioreactor influent deposited via the final discharge point,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, PureOxygenActivated Sludge, Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Monthly,50.9114,-114.0091,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020901,05BM,Monthly,2021,31103.4,830392.6667,5.666666667,-19.33333333,14.75,-10.25
14278,City of Calgary,Pine Creek Wastewater Treatment Plant,Calgary,Alberta,T2X 1Z3,Municipal or another local authority,Municipal or another local authority,70595,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Monthly,50.8564,-113.9809,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04020901,05BM,Monthly,2021,87086.4,2495812.5,1.333333333,-23.66666667,2.5,-22.5
23921,City of Camrose,City of Camrose Wastewater Treatment Lagoons,City of Camrose,Alberta,T4V 0S8,Municipal or another local authority,Municipal or another local authority,5300,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Lagoons - Aerated, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.9769,-112.846,Verified,Final Discharge Point,Battle River,Camrose Creek (aka Stoney Creek),Other,Other,operational,AB-09010104,05FA,Annually,2021,7676.2,2054001,3,-22,11,-14
28096,City of Cold Lake,RUSC Lagoons,Cold Lake,Alberta,T9M 1A1,Municipal or another local authority,Municipal or another local authority,9609,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Lagoons - Aerated, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Yes,Quarterly,Quarterly,54.357,-110.1747,Verified,Final Discharge Point,Beaver River,Beaver River,Sport fishing,Fish spawning area within 1500 m,operational,AB-12020201,06AD,Quarterly,2021,4689.1,454900,8.475,-16.525,31.125,6.125
24002,City of Lacombe,City of Lacombe Lagoons,Lacombe,Alberta,T4L 1E9,Municipal or another local authority,Municipal or another local authority,3511,Continuous measure of influent volume deposited via the final discharge point,NA,No,Intermittent,"Grit Removal, Lagoons - Aerated, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.4774,-113.7074,Verified,Final Discharge Point,Wolf Creek,Wolf Creek,Agriculture (e.g irrigation),Watercourse with bulk flow ratio >=10 and <=100,operational,AB-09010102,05FA,Annually,2021,0,0,0,-25,0,-25
24677,City of Lethbridge,Lethbridge WWTP,Lethbridge,Alberta,T1H 1E4,Municipal or another local authority,Municipal or another local authority,35000,Continuous measure of influent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Phosphorus Removal, Biological Nutrient Removal (Nitrogen and Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Monthly,49.7157,-112.8578,Verified,Final Discharge Point,Oldman River,Oldman River,Other,Watercourse with bulk flow ratio >=10 and <=100,operational,AB-04010303,05AD,Monthly,2021,46709.4,601830.1667,4.491666667,-20.50833333,7.991666667,-17.00833333
13827,City of Medicine Hat,Wastewater Treatment Plant,Medicine Hat,Alberta,T1C 1S6,Municipal or another local authority,Municipal or another local authority,22691,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Trickling Filter, Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Monthly,50.0494,-110.6398,Verified,Final Discharge Point,NA,NA,NA,NA,operational,AB-04030301,05AK,Monthly,2021,22231,649790.6667,2.925,-22.075,9.416666667,-15.58333333
9579,City of Red Deer,Wastewater Treatment Plant,Red Deer,Alberta,T4P3R6,Municipal or another local authority,Municipal or another local authority,35009,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Activated Sludge, Lagoon - Facultative, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Monthly,52.3139,-113.7933,Verified,Final Discharge Point,Red Deer River,Red Deer River,Drinking water source,Other,operational,AB-08010301,05CC,Monthly,2021,55905,1549085.167,3.95,-21.05,5.325,-19.675
23506,City of Wetaskiwin,Wetaskiwin Wastewater,Wetaskiwin,Alberta,T9A 2G9,Municipal or another local authority,Municipal or another local authority,4700,Other method of calculation based on measurements,"Influent measured with flow meters 4700 m3 daily influent in 2012 , discharge twice yearly 6 weeks each discharge one spring one fall",No,Intermittent,"Screening, Lagoons - Aerated, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.9844,-113.3352,Estimated,Final Discharge Point,Battle River,Unnamed seasonal creek,Other,Watercourse with bulk flow ratio >=10 and <=100,operational,AB-09010103,05FA,Annually,2021,8165.1,528185,3.1,-21.9,8.6,-16.4
24232,Civeo Water Canada Ltd,BREL WWTP,Fort McMurray,Alberta,T5S1K6,Other,Other,1148,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Screening, Activated Sludge, Biological Ammonia Removal – Nitrification Only , Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,57.125,-111.6155,Verified,Final Discharge Point,Athabasca River,Athabasca River,Drinking water source,Watercourse with bulk flow ratio > 100,operational,AB-17070101,07DA,Quarterly,2021,1101.8,108240.5,2.225,-22.775,2.975,-22.025
26954,Cold Lake First Nations,Cold Lake First Nations Lagoon,Cold Lake,Alberta,T9M1P4,NA,NA,101,Other method of calculation based on measurements,1/3 of water produced daily by water treatment plant plus the volume brought in daily by sewage trucks,No,Intermittent,"Primary Sedimentation/Clarification, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,54.3431,-110.2248,Verified,Final Discharge Point,Beaver River,Unnamed spring,Other,Watercourse with bulk flow ratio >=10 and <=100,operational,AB-12020201,06AD,Annually,2020,1.4,0,0,-25,0,-25
23532,Corix Utilities (Foothills Wastewater) Inc,Corix Utilities (Foothills Wastewater) Inc,DeWinton,Alberta,T0L 0X0,Municipal or another local authority,Provincial,594,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Activated Sludge, Biological Nitrogen Removal - Nitrification and Denitrification, Biological Nutrient Removal (Nitrogen and Phosphorus), Chemical Precipitation (Phosphorus), Filtration, Disinfection",NA,Effluent is deposited to water frequented by fish via the final discharge point,No,Quarterly,Quarterly,50.8546,-113.9752,Verified,Final Discharge Point,Bow River,Bow River,Sport fishing,Watercourse with bulk flow ratio > 100,operational,AB-04020901,05BM,Quarterly,2021,518.5,40730,2,-23,1.4,-23.6
23258,Correctional Service Canada,PR REGION - Bowden Institution Wastewater Treatment System,Innisfail,Alberta,T4G 1V1,Federal,Federal,484,Determined on the basis of the system's average design rate of influent flow,NA,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,51.9818,-114.0027,Verified,Final Discharge Point,Ditch - Not a Water Body,Not Applicable,NA,NA,operational,AB-08010301,05CC,Annually,2021,400.2,0,0,-25,0,-25
26880,County of Wetaskiwin No. 10,Alder Flats Lagoon,Alder Flats,Alberta,T0C0A0,Municipal or another local authority,Municipal or another local authority,20,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Aerated, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.9385,-114.9784,Verified,Final Discharge Point,North Saskatchewan River,NA,Other,Other,operational,AB-11020102,05DE,Annually,2021,110.4,30201,2.8,-22.2,6,-19
26882,County of Wetaskiwin No. 10,NEPL/Mulhurst Bay Lagoon,Wetaskiwin,Alberta,T9A 2G5,Municipal or another local authority,Municipal or another local authority,0,Estimate based on the measured rate of influent flow,NA,No,Intermittent,"Grit Removal, Screening, Primary Sedimentation/Clarification, Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish via the final discharge point,Non-applicable,Annually,Annually,53.0608,-113.9642,Verified,Final Discharge Point,Pipestone Creek,Pipestone Creek,Agriculture (e.g irrigation),Other,operational,AB-09010103,05FA,Annually,2021,425.9,75274,2.8,-22.2,7.3,-17.7
26881,County of Wetaskiwin No. 10,Winfield Lagoon,Winfield,Alberta,T0C2X0,Municipal or another local authority,Municipal or another local authority,82,Estimate based on generally accepted engineering practices,NA,No,Intermittent,"Lagoon - Facultative, Storage Ponds",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Annually,Annually,52.962,-114.4345,Verified,Final Discharge Point,Poplar Creek,Poplar Creek,Other,Other,operational,AB-11020103,05DE,Annually,2021,184.3,17119,7.4,-17.6,4,-21
23871,DEPARTMENT OF NATIONAL DEFENCE,4 Wing WWTP,Cold Lake,Alberta,T9M 2C6,Federal,Federal,1550,Continuous measure of effluent volume deposited via the final discharge point,NA,No,Continuous,"Grit Removal, Screening, Extended Aeration Activated Sludge, Oxidation Ditch, Disinfection",NA,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,No,Quarterly,Quarterly,54.4194,-110.2819,Verified,Final Discharge Point,NA,NA,Other,Other,operational,AB-12020104,06AC,Quarterly,2021,1232.8,113238.75,2.75,-22.25,7.275,-17.725
12338,DEPARTMENT OF NATIONAL DEFENCE,Canadian Forces Base Suffield,Ralston,Alberta,T1A8K8,Federal,Federal,1830,Other method of calculation based on measurements,Comparison of influent flow meter that exisited several years ago in comparison to Water distributed being 140%; this was applied to most recent WTP distribution data. New flow meter being commissioned on upgraded liftstation to commence providing data i,No,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds, Other Treatment",Effluent does not reach water frequented by fish.,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,Non-applicable,Non-applicable,Non-applicable,50.2553,-111.2018,Verified,Final Discharge Point,Adjoining ranch dugout,NA,Agriculture (e.g irrigation),Other,operational,AB-04021302,05BN,Annually,2016,712.3,0,0,-25,0,-25
